"state","year","atopally","defense","offense","neutral","nonagg","consul","number","transyr","atopid1","atopid2","atopid3","atopid4","atopid5","atopid6","atopid7","atopid8","atopid9","atopid10","atopid11","atopid12","atopid13","atopid14","atopid15","atopid16","atopid17","atopid18","atopid19","atopid20","atopid21","atopid22","atopid23","atopid24","atopid25","atopid26","atopid27","atopid28","atopid29","atopid30","atopid31","atopid32","atopid33","atopid34","atopid35","atopid36","atopid37","atopid38","atopid39","atopid40","atopid41","atopid42","version"
2,1908,1,0,0,0,0,1,1,1,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1909,1,0,0,0,0,1,1,0,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1910,1,0,0,0,0,1,1,1,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1921,1,0,0,0,0,1,1,1,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1922,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1923,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1924,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1925,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1926,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1927,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1928,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1929,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1930,1,0,0,0,0,1,1,0,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1931,1,0,0,0,0,1,1,1,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1942,1,1,1,0,0,0,1,1,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1943,1,1,1,0,0,0,1,0,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1944,1,1,1,0,0,0,2,1,2550,2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1945,1,1,1,0,0,1,4,1,2550,2571,3005,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1946,1,1,1,0,0,1,2,1,2571,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1947,1,1,0,0,1,1,2,1,3010,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1948,1,1,0,0,1,1,2,1,3075,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1949,1,1,0,0,1,1,3,1,3075,3150,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1950,1,1,0,0,1,1,3,0,3075,3150,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1951,1,1,0,0,1,1,6,1,3075,3150,3180,3210,3215,3220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1952,1,1,0,0,1,1,6,0,3075,3150,3180,3210,3215,3220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1953,1,1,0,0,1,1,7,1,3075,3150,3180,3210,3215,3220,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1954,1,1,0,0,1,1,9,1,3075,3150,3180,3210,3215,3220,3240,3260,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1955,1,1,0,0,1,1,9,0,3075,3150,3180,3210,3215,3220,3240,3260,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1956,1,1,0,0,1,1,9,0,3075,3150,3180,3210,3215,3220,3240,3260,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1957,1,1,0,0,1,1,9,0,3075,3150,3180,3210,3215,3220,3240,3260,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1958,1,1,0,0,1,1,9,0,3075,3150,3180,3210,3215,3220,3240,3260,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1959,1,1,0,0,1,1,13,1,3075,3150,3180,3210,3215,3220,3240,3260,3270,3355,3360,3365,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1960,1,1,0,0,1,1,14,1,3075,3150,3180,3210,3215,3220,3240,3260,3270,3355,3360,3365,3370,3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1961,1,1,0,0,1,1,13,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1962,1,1,0,0,1,1,14,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1963,1,1,0,0,1,1,15,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3460,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1964,1,1,0,0,1,1,15,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3460,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1965,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1966,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1967,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1968,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1969,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1970,1,1,0,0,1,1,15,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3480,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1971,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1972,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1973,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1974,1,1,0,0,1,1,14,0,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1975,1,1,0,0,1,1,15,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,3740,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1976,1,1,0,0,1,1,16,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3635,3740,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1977,1,1,0,0,1,1,16,1,3075,3150,3180,3210,3215,3240,3260,3270,3355,3360,3365,3370,3375,3740,3750,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1978,1,1,0,0,1,1,15,0,3075,3150,3180,3210,3215,3240,3270,3355,3360,3365,3370,3375,3740,3750,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1979,1,1,0,0,1,1,15,1,3075,3150,3180,3210,3215,3240,3270,3355,3360,3365,3370,3375,3740,3750,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1980,1,1,0,0,1,1,14,1,3075,3150,3180,3210,3215,3240,3270,3355,3360,3370,3375,3740,3750,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1981,1,1,0,0,1,1,14,1,3075,3150,3180,3210,3215,3240,3355,3360,3370,3375,3740,3750,3795,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1982,1,1,0,0,1,1,13,0,3075,3150,3180,3210,3215,3240,3355,3360,3370,3375,3740,3795,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1983,1,1,0,0,1,1,13,0,3075,3150,3180,3210,3215,3240,3355,3360,3370,3375,3740,3795,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1984,1,1,0,0,1,1,13,0,3075,3150,3180,3210,3215,3240,3355,3360,3370,3375,3740,3795,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,1985,1,1,0,0,1,1,13,0,3075,3150,3180,3210,3215,3240,3355,3360,3370,3375,3740,3795,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
