dispnum	version	ccode	corr.ccode	change
8	2.1	200	NA	STDAY changed to 11.
8	2.1	630	NA	STDAY changed to 11.
13	2.1	2	0	United States of America (2) dropped from MID#13.
13	2.1	200	NA	STMON changed back to 4. STDAY changed back to 6. HIACT changed to 16 Attack [4].
13	2.1	220	0	France (220) dropped from MID#13.
13	2.1	740	NA	STMON changed back to 4. STDAY changed back to 6. HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
20	2.1	365	NA	STDAY changed to -9. HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force.
20	2.1	630	NA	STDAY changed to -9.
21	2.1	300	NA	SIDEA changed back to 1.
21	2.1	345	NA	SIDEA changed back to 0.
21	2.1	365	NA	HIACT changed to 10 Mobilization [3]. HOSTLEV changed to 3 Display of force. SIDEA changed back to 0.
22	2.1	365	NA	STDAY changed to 15.
22	2.1	367	NA	STDAY changed to 15.
25	2.1	200	NA	STMON changed to 10. STDAY changed to 29. ENDYEAR changed to 1831. ENDMON changed to 10. ENDDAY changed to 29.
25	2.1	210	NA	ENDMON changed to 12. ENDDAY changed to -9.
25	2.1	211	NA	ENDMON changed to 12. ENDDAY changed to -9.
25	2.1	220	NA	ENDYEAR changed to 1832. ENDMON changed to 12. ENDDAY changed to -9.
27	2.1	2	NA	STDAY changed to 15.
27	2.1	365	NA	STDAY changed to 15.
40	2.1	710	NA	ENDYEAR changed to 1929.
40	2.1	740	NA	ENDYEAR changed to 1929.
50	2.1	2	NA	STDAY changed to 9. ENDMON changed to 2. ENDDAY changed to 6.
50	2.1	710	NA	STDAY changed to 9. ENDMON changed to 2. ENDDAY changed to 6. FATALITY changed to 6 > 999 deaths.
50	2.1	713	NA	ENDMON changed to 2. ENDDAY changed to 6. FATALITY changed to 4 251-500 deaths. ORIG changed to 0.
64	2.1	365	NA	STMON changed to 3. STDAY changed to 17. ENDMON changed back to 10. ENDDAY changed to 7.
64	2.1	640	NA	STMON changed to 3. STDAY changed to 17. ENDMON changed back to 10. ENDDAY changed to 7.
68	2.1	2	NA	ENDMON changed to 1. ENDDAY changed to 13. ORIG changed to 0.
68	2.1	42	NA	STDAY changed to 3. ENDMON changed to 1. ENDDAY changed to 13.
68	2.1	220	NA	STDAY changed to 3. ENDMON changed to 1. ENDDAY changed to 13.
71	2.1	200	NA	ENDDAY changed to 15.
71	2.1	350	NA	ENDDAY changed to 15.
78	2.1	300	NA	ENDYEAR changed to 1847. ENDMON changed to 12. ENDDAY changed to -9.
78	2.1	327	NA	ENDYEAR changed to 1847. ENDMON changed to 12. ENDDAY changed to -9.
86	2.1	220	NA	ENDMON changed to 4. ENDDAY changed to -9. HIACT changed to 16 Attack [4].
86	2.1	230	NA	ENDMON changed to 2. ENDDAY changed to 8.
86	2.1	600	NA	ENDMON changed to 4. ENDDAY changed to -9. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
88	2.1	267	NA	STDAY changed to -9.
89	2.1	255	0	Germany (255) dropped from MID#89.
89	2.1	300	0	Austria-Hungary (300) dropped from MID#89.
89	2.1	365	0	Russia (365) dropped from MID#89.
96	2.1	200	NA	ORIG changed to .
96	2.1	255	NA	ORIG changed to .
96	2.1	300	NA	ORIG changed to .
96	2.1	325	NA	ORIG changed to .
96	2.1	365	NA	ORIG changed to .
104	2.1	365	NA	ENDMON changed to 6.
104	2.1	710	NA	ENDMON changed to 6. HIACT changed to 11 Fortify border [3]. HOSTLEV changed to 3 Display of force.
114	2.1	325	NA	STDAY changed to -9. ENDYEAR changed to 1912.
114	2.1	640	NA	STDAY changed to -9. ENDYEAR changed to 1912.
119	2.1	200	NA	HIACT changed to 11 Fortify border [3].
123	2.1	160	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
125	2.1	2	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
127	2.1	200	NA	ENDMON changed to 5. ENDDAY changed to 11.
127	2.1	211	NA	ENDMON changed to 5. ENDDAY changed to 11.
127	2.1	220	NA	ENDMON changed to 5. ENDDAY changed to 11.
127	2.1	255	NA	ENDMON changed to 5. ENDDAY changed to 11.
127	2.1	325	NA	ENDDAY changed to 11.
134	2.1	255	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
146	2.1	200	NA	HIACT changed to 17 Clash [4].
146	2.1	220	NA	HIACT changed to 17 Clash [4].
146	2.1	365	NA	HIACT changed to 17 Clash [4].
146	2.1	640	NA	HIACT changed to 17 Clash [4].
148	2.1	790	NA	FATALITY changed back to 1. FATALPRE changed to 1.
152	2.1	200	NA	HIACT changed to 8 Alert [3]. HOSTLEV changed to 3 Display of force.
152	2.1	220	NA	HIACT changed to 14 Occupation of territory [4].
158	2.1	2	NA	ENDMON changed to 8. ENDDAY changed to 23.
158	2.1	94	NA	ENDMON changed to 8. ENDDAY changed to 23.
158	2.1	95	NA	ENDMON changed to 8. ENDDAY changed to 23.
160	2.1	70	NA	HIACT changed to 18 Declaration of war [4].
160	2.1	220	NA	HIACT changed to 16 Attack [4].
164	2.1	2	NA	STDAY changed to 20.
164	2.1	200	NA	STMON changed to 5. STDAY changed to 20. ORIG changed to 1.
164	2.1	600	NA	STDAY changed to 20.
165	2.1	365	NA	HIACT changed to 16 Attack [4].
169	2.1	290	NA	STDAY changed to 10. HIACT changed to 17 Clash [4].
169	2.1	365	NA	STDAY changed to 10. HIACT changed to 17 Clash [4].
172	2.1	2	NA	ENDMON changed to 10. ENDDAY changed to 18.
