"dispnum3","dispnum4","stday","stmon","styear","endday","endmon","endyear","outcome","settle","fatality","fatalpre","maxdur","mindur","hiact","hostlev","recip","numa","numb","link1","link2","link3","ongo2010","version"
2,-9,-9,7,1902,24,1,1903,6,1,0,0,208,178,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
3,-9,2,5,1913,25,10,1913,4,3,0,0,177,177,10,"3",0,1,1,"0","0",0,0,"gml-2.1"
4,-9,15,5,1946,13,11,1946,6,1,2,-9,183,183,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
7,-9,13,10,1951,25,1,1952,1,3,2,-9,105,105,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
8,-9,11,7,1856,4,3,1857,1,2,6,-9,237,237,20,"5",1,1,1,"0","0",0,0,"gml-2.1"
9,-9,29,12,1889,10,1,1890,4,2,0,0,13,13,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
11,-9,11,3,1938,12,3,1938,4,2,0,0,2,2,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
12,-9,11,3,1938,30,9,1938,4,1,0,0,204,204,11,"3",1,1,5,"0","0",0,0,"gml-2.1"
13,-9,6,4,1863,11,12,1863,5,1,1,-9,250,250,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
14,-9,15,10,1895,31,12,1895,4,3,0,0,78,78,7,"3",0,1,1,"0","0",0,0,"gml-2.1"
15,-9,1,2,1839,1,3,1839,6,1,0,0,29,29,15,"4",1,1,1,"0","0",0,0,"gml-2.1"
16,-9,25,12,1897,19,2,1898,4,3,0,0,57,57,7,"3",0,1,2,"0","0",0,0,"gml-2.1"
19,-9,15,1,1848,9,8,1849,5,1,6,-9,573,573,20,"5",1,1,3,"0","0",0,0,"gml-2.1"
20,-9,-9,11,1945,5,4,1946,3,1,0,0,156,127,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
21,-9,21,11,1912,3,12,1912,5,3,0,0,13,13,10,"3",1,1,2,"0","0",0,0,"gml-2.1"
22,-9,15,6,1940,17,6,1940,1,2,-9,-9,3,3,16,"4",0,1,1,"0","0",0,0,"gml-2.1"
23,-9,19,9,1939,28,9,1939,2,1,0,0,10,10,13,"4",0,1,1,"0","0",0,0,"gml-2.1"
25,-9,2,8,1831,-9,12,1832,2,1,-9,-9,518,488,17,"4",1,1,3,"0","0",0,0,"gml-2.1"
26,-9,21,3,1948,25,7,1949,5,3,0,0,492,492,16,"4",1,1,3,"0","0",0,0,"gml-2.1"
27,-9,15,7,1961,28,10,1961,5,3,0,0,106,106,17,"4",1,4,4,"0","0",0,0,"gml-2.1"
28,-9,17,7,1961,29,9,1961,6,1,3,-9,75,75,17,"4",1,1,1,"0","0",0,0,"gml-2.1"
30,-9,6,10,1908,31,3,1909,4,1,-9,-9,177,177,14,"4",0,1,1,"0","0",0,0,"gml-2.1"
31,-9,30,5,1900,16,1,1901,1,1,6,-9,232,232,20,"5",1,8,1,"0","0",0,0,"gml-2.1"
38,-9,29,12,1837,29,12,1837,5,3,0,0,1,1,16,"4",1,1,1,"0","0",0,0,"gml-2.1"
