"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
2,-9,2,"USA",-9,7,1902,24,1,1903,1,1,1,-9,0,0,7,3,1,"gml-2.1"
2,-9,200,"UKG",-9,7,1902,24,1,1903,0,1,1,-9,0,0,0,1,1,"gml-2.1"
3,-9,300,"AUH",2,5,1913,25,10,1913,1,1,2,-9,0,0,10,3,1,"gml-2.1"
3,-9,345,"YUG",2,5,1913,25,10,1913,0,0,0,-9,0,0,0,1,1,"gml-2.1"
4,-9,200,"UKG",15,5,1946,13,11,1946,0,0,0,-9,2,-9,7,3,1,"gml-2.1"
4,-9,339,"ALB",15,5,1946,13,11,1946,1,0,0,-9,0,0,16,4,1,"gml-2.1"
7,-9,200,"UKG",13,10,1951,25,1,1952,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
7,-9,651,"EGY",13,10,1951,25,1,1952,0,1,2,-9,2,-9,17,4,1,"gml-2.1"
8,-9,200,"UKG",11,7,1856,4,3,1857,1,1,2,-9,6,-9,20,5,1,"gml-2.1"
8,-9,630,"IRN",11,7,1856,4,3,1857,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
9,-9,200,"UKG",29,12,1889,10,1,1890,1,1,1,-9,0,0,7,3,1,"gml-2.1"
9,-9,235,"POR",29,12,1889,10,1,1890,0,0,0,-9,0,0,0,1,1,"gml-2.1"
11,-9,255,"GMY",11,3,1938,12,3,1938,1,1,1,-9,0,0,14,4,1,"gml-2.1"
11,-9,305,"AUS",11,3,1938,12,3,1938,0,0,0,-9,0,0,0,1,1,"gml-2.1"
12,-9,200,"UKG",26,8,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,"gml-2.1"
12,-9,211,"BEL",7,9,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,"gml-2.1"
12,-9,220,"FRN",7,9,1938,30,9,1938,0,0,0,-9,0,0,10,3,0,"gml-2.1"
12,-9,255,"GMY",11,3,1938,30,9,1938,1,1,1,-9,0,0,11,3,1,"gml-2.1"
12,-9,315,"CZE",11,3,1938,30,9,1938,0,0,0,-9,0,0,10,3,1,"gml-2.1"
12,-9,365,"RUS",16,9,1938,30,9,1938,0,0,0,-9,0,0,7,3,0,"gml-2.1"
13,-9,200,"UKG",6,4,1863,11,12,1863,1,1,2,-9,-9,-9,16,4,1,"gml-2.1"
13,-9,740,"JPN",6,4,1863,11,12,1863,0,0,0,-9,-9,-9,16,4,1,"gml-2.1"
14,-9,200,"UKG",15,10,1895,31,12,1895,1,1,2,-9,0,0,7,3,1,"gml-2.1"
14,-9,640,"TUR",15,10,1895,31,12,1895,0,0,0,-9,0,0,0,1,1,"gml-2.1"
15,-9,2,"USA",1,2,1839,1,3,1839,1,1,1,-9,0,0,15,4,1,"gml-2.1"
15,-9,200,"UKG",1,2,1839,1,3,1839,0,1,1,-9,0,0,15,4,1,"gml-2.1"
16,-9,200,"UKG",25,12,1897,19,2,1898,1,1,2,-9,0,0,7,3,1,"gml-2.1"
16,-9,365,"RUS",25,12,1897,19,2,1898,0,0,0,-9,0,0,0,1,1,"gml-2.1"
16,-9,730,"KOR",25,12,1897,19,2,1898,0,0,0,-9,0,0,0,1,1,"gml-2.1"
16,-9,740,"JPN",25,12,1897,19,2,1898,1,1,2,-9,0,0,7,3,1,"gml-2.1"
19,-9,300,"AUH",15,1,1848,6,8,1849,1,0,0,-9,6,-9,20,5,1,"gml-2.1"
19,-9,325,"ITA",15,1,1848,6,8,1849,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
19,-9,332,"MOD",1,3,1848,9,8,1848,0,0,0,-9,2,-9,20,5,0,"gml-2.1"
