"","ccode","year","atop_lengthmax","atop_lengthavg"
"1",2,1970,23,16
"2",2,1971,24,17
"3",2,1972,25,18
"4",2,1973,26,19
"5",2,1974,27,20
"6",2,1975,28,21
"7",2,1976,29,22
"8",2,1977,30,21
"9",2,1978,31,19
"10",2,1979,32,20
"11",2,1980,33,21
"12",2,1981,34,23
"13",2,1982,35,22
"14",2,1983,36,24
"15",2,1984,37,24
"16",2,1985,38,26
"17",2,1986,39,26
"18",2,1987,40,28
"19",2,1988,41,28
"20",2,1989,42,30
"21",2,1990,43,30
"22",2,1991,44,33
"23",2,1992,45,34
"24",2,1993,46,35
"25",2,1994,47,36
"26",2,1995,48,37
"27",2,1996,49,38
"28",2,1997,50,39
"29",2,1998,51,40
"30",2,1999,52,43
"31",2,2000,53,44
"32",2,2001,54,45
"33",2,2002,55,46
"34",2,2003,56,47
"35",2,2004,57,48
"36",2,2005,58,49
"37",2,2006,59,50
"38",2,2007,60,51
"39",2,2008,61,52
"40",2,2009,62,53
"41",2,2010,63,54
"42",2,2011,64,55
"43",2,2012,65,56
"44",2,2013,66,57
"45",2,2014,67,58
"46",20,1970,19,19
"47",20,1971,20,20
"48",20,1972,21,21
"49",20,1973,22,22
"50",20,1974,23,23
"51",20,1975,24,24
"52",20,1976,25,25
"53",20,1977,26,26
"54",20,1978,27,27
"55",20,1979,28,28
"56",20,1980,29,29
"57",20,1981,30,30
"58",20,1982,31,31
"59",20,1983,32,32
"60",20,1984,33,33
"61",20,1985,34,34
"62",20,1986,35,35
"63",20,1987,36,36
"64",20,1988,37,37
"65",20,1989,38,38
"66",20,1990,39,39
"67",20,1991,40,40
"68",20,1992,41,41
"69",20,1993,42,42
"70",20,1994,43,43
"71",20,1995,44,44
"72",20,1996,45,45
"73",20,1997,46,46
"74",20,1998,47,47
"75",20,1999,48,48
"76",20,2000,49,49
"77",20,2001,50,50
"78",20,2002,51,51
"79",20,2003,52,52
"80",20,2004,53,53
"81",20,2005,54,54
"82",20,2006,55,55
"83",20,2007,56,56
"84",20,2008,57,57
"85",20,2009,58,58
"86",20,2010,59,59
"87",20,2011,60,60
"88",20,2012,61,61
"89",20,2013,62,62
"90",20,2014,63,63
"91",31,1983,1,1
"92",31,1984,2,2
"93",31,1985,3,3
"94",31,1986,4,4
"95",31,1987,5,5
"96",31,1988,6,6
"97",31,1989,7,7
"98",31,1990,8,8
"99",31,1991,9,9
"100",31,1992,10,10
"101",31,1993,11,11
"102",31,1994,12,12
"103",31,1995,13,13
"104",31,1996,14,14
"105",31,1997,15,15
"106",31,1998,16,16
"107",31,1999,17,17
"108",31,2000,18,18
"109",31,2001,19,19
"110",31,2002,20,20
"111",31,2003,21,21
"112",31,2004,22,22
"113",31,2005,23,23
