Country Name,Length of Land Boundaries,Length of Land Boundaries Border Countries
Macau,0.34 km,
Gibraltar,1.20 km,Spain 1.2 km
Holy See (Vatican City),3.20 km,Italy 3.2 km
Monaco,4.40 km,France 4.4 km
Netherlands Antilles,15.00 km,Saint Martin 15 km
Saint Martin,15.00 km,Netherlands Antilles (Sint Maarten) 15 km
Cuba,29.00 km,US Naval Base at Guantanamo Bay 29 km
Hong Kong,30.00 km,regional border: China 30 km
San Marino,39.00 km,Italy 39 km
Qatar,60.00 km,Saudi Arabia 60 km
Denmark,68.00 km,Germany 68 km
Liechtenstein,76.00 km,Austria 34.9 km Switzerland 41.1 km
Andorra,120.30 km,France 56.6 km Spain 63.7 km
Cyprus,150.40 km,"Akrotiri 47.4 km, Dhekelia 103 km (approximately)"
Timor-Leste,228.00 km,Indonesia 228 km
"Korea, South",238.00 km,North Korea 238 km
Luxembourg,359.00 km,Belgium 148 km France 73 km Germany 138 km
Dominican Republic,360.00 km,Haiti 360 km
Haiti,360.00 km,Dominican Republic 360 km
Ireland,360.00 km,UK 360 km
United Kingdom,360.00 km,Ireland 360 km
Brunei,381.00 km,Malaysia 381 km
West Bank,404.00 km,Israel 307 km Jordan 97 km
West Bank,404.00 km,Israel 307 km Jordan 97 km
Lebanon,454.00 km,Israel 79 km Syria 375 km
Kuwait,462.00 km,Iraq 240 km Saudi Arabia 222 km
Belize,516.00 km,Guatemala 266 km Mexico 250 km
Djibouti,516.00 km,Eritrea 109 km Ethiopia 349 km Somalia 58 km
Swaziland,535.00 km,Mozambique 105 km South Africa 430 km
Equatorial Guinea,539.00 km,Cameroon 189 km Gabon 350 km
El Salvador,545.00 km,Guatemala 203 km Honduras 342 km
Panama,555.00 km,Colombia 225 km Costa Rica 330 km
Montenegro,625.00 km,Albania 172 km Bosnia and Herzegovina 225 km Croatia 25 km Kosovo 79 km Serbia 124 km
Estonia,633.00 km,Latvia 343 km Russia 290 km
Costa Rica,639.00 km,Nicaragua 309 km Panama 330 km
Albania,717.00 km,Greece 282 km Macedonia 151 km Montenegro 172 km Kosovo 112 km
Guinea-Bissau,724.00 km,Guinea 386 km Senegal 338 km
"Gambia, The",740.00 km,Senegal 740 km
Macedonia [FYROM],766.00 km,Albania 151 km Bulgaria 148 km Greece 246 km Kosovo 159 km Serbia 62 km
Papua New Guinea,820.00 km,Indonesia 820 km
United Arab Emirates,867.00 km,Oman 410 km Saudi Arabia 457 km
Rwanda,893.00 km,Burundi 290 km Democratic Republic of the Congo 217 km Tanzania 217 km Uganda 169 km
Lesotho,909.00 km,South Africa 909 km
Sierra Leone,958.00 km,Guinea 652 km Liberia 306 km
Burundi,974.00 km,Democratic Republic of the Congo 233 km Rwanda 290 km Tanzania 451 km
Israel,"1,017.00 km",Egypt 266 km Gaza Strip 51 km Jordan 238 km Lebanon 79 km Syria 76 km West Bank 307 km
Netherlands,"1,027.00 km",Belgium 450 km Germany 577 km
Bhutan,"1,075.00 km",China 470 km India 605 km
Slovenia,"1,086.00 km",Austria 330 km Croatia 455 km Hungary 102 km Italy 199 km
Portugal,"1,214.00 km",Spain 1214 km
Greece,"1,228.00 km",Albania 282 km Bulgaria 494 km Turkey 206 km Macedonia 246 km
Nicaragua,"1,231.00 km",Costa Rica 309 km Honduras 922 km
Armenia,"1,254.00 km",Azerbaijan-proper 566 km Azerbaijan-Naxcivan exclave 221 km Georgia 164 km Iran 35 km Turkey 268 km
Oman,"1,374.00 km",Saudi Arabia 676 km UAE 410 km Yemen 288 km
Latvia,"1,382.00 km",Belarus 171 km Estonia 343 km Lithuania 576 km Russia 292 km
Belgium,"1,385.00 km",France 620 km Germany 167 km Luxembourg 148 km Netherlands 450 km
Moldova,"1,390.00 km",Romania 450 km Ukraine 940 km
Tunisia,"1,424.00 km",Algeria 965 km Libya 459 km
Georgia,"1,461.00 km",Armenia 164 km Azerbaijan 322 km Russia 723 km Turkey 252 km
Slovakia,"1,474.00 km",Austria 91 km Czech Republic 197 km Hungary 676 km Poland 420 km Ukraine 90 km
Honduras,"1,520.00 km",Guatemala 256 km El Salvador 342 km Nicaragua 922 km
Bosnia and Herzegovina,"1,538.00 km",Croatia 932 km Montenegro 249 km Serbia 357 km
Lithuania,"1,574.00 km",Belarus 680 km Latvia 576 km Poland 91 km Russia (Kaliningrad) 227 km
Liberia,"1,585.00 km",Guinea 563 km Cote d'Ivoire 716 km Sierra Leone 306 km
Eritrea,"1,626.00 km",Djibouti 109 km Ethiopia 912 km Sudan 605 km
Jordan,"1,635.00 km",Iraq 181 km Israel 238 km Saudi Arabia 744 km Syria 375 km West Bank 97 km
Togo,"1,647.00 km",Benin 644 km Burkina Faso 126 km Ghana 877 km
Uruguay,"1,648.00 km",Argentina 580 km Brazil 1068 km
"Korea, North","1,673.00 km",China 1416 km South Korea 238 km Russia 19 km
Guatemala,"1,687.00 km",Belize 266 km El Salvador 203 km Honduras 256 km Mexico 962 km
Suriname,"1,703.00 km",Brazil 593 km French Guiana 510 km Guyana 600 km
Yemen,"1,746.00 km",Oman 288 km Saudi Arabia 1458 km
Bulgaria,"1,808.00 km",Greece 494 km Macedonia 148 km Romania 608 km Serbia 318 km Turkey 240 km
Switzerland,"1,852.00 km",Austria 164 km France 573 km Italy 740 km Liechtenstein 41 km Germany 334 km
Italy,"1,899.20 km",Austria 430 km France 488 km Holy See (Vatican City) 3.2 km San Marino 39 km Slovenia 199 km Switzerland 740 km
Spain,"1,917.80 km",Andorra 63.7 km France 623 km Gibraltar 1.2 km Portugal 1214 km Morocco (Ceuta) 6.3 km Morocco (Melilla) 9.6 km
Croatia,"1,982.00 km",Bosnia and Herzegovina 932 km Hungary 329 km Serbia 241 km Montenegro 25 km Slovenia 455 km
Benin,"1,989.00 km",Burkina Faso 306 km Niger 266 km Nigeria 773 km Togo 644 km
Czech Republic,"1,989.00 km",Austria 362 km Germany 815 km Poland 615 km Slovakia 197 km
Ecuador,"2,010.00 km",Colombia 590 km Peru 1420 km
Azerbaijan,"2,013.00 km",Armenia (with Azerbaijan-proper) 566 km Armenia (with Azerbaijan-Naxcivan exclave) 221 km Georgia 322 km Iran (with Azerbaijan-proper) 432 km Iran (with Azerbaijan-Naxcivan exclave) 179 km Russia 284 km Turkey 9 km
Morocco,"2,017.90 km",Algeria 1559 km Western Sahara 443 km Spain (Ceuta) 6.3 km Spain (Melilla) 9.6 km
Serbia,"2,026.00 km",Bosnia and Herzegovina 302 km Bulgaria 318 km Croatia 241 km Hungary 151 km Kosovo 352 km Macedonia 62 km Montenegro 124 km Romania 476 km
Western Sahara,"2,046.00 km",Algeria 42 km Mauritania 1561 km Morocco 443 km
Ghana,"2,094.00 km",Burkina Faso 549 km Cote d'Ivoire 668 km Togo 877 km
Hungary,"2,185.00 km",Austria 366 km Croatia 329 km Romania 443 km Serbia 166 km Slovakia 676 km Slovenia 102 km Ukraine 103 km
Sweden,"2,233.00 km",Finland 614 km Norway 1619 km
Syria,"2,253.00 km",Iraq 605 km Israel 76 km Jordan 375 km Lebanon 375 km Turkey 822 km
Somalia,"2,340.00 km",Djibouti 58 km Ethiopia 1600 km Kenya 682 km
Romania,"2,508.00 km",Bulgaria 608 km Hungary 443 km Moldova 450 km Serbia 476 km Ukraine (north) 362 km Ukraine (east) 169 km
Norway,"2,542.00 km",Finland 727 km Sweden 1619 km Russia 196 km
Gabon,"2,551.00 km",Cameroon 298 km Republic of the Congo 1903 km Equatorial Guinea 350 km
Austria,"2,562.00 km",Czech Republic 362 km Germany 784 km Hungary 366 km Italy 430 km Liechtenstein 35 km Slovakia 91 km Slovenia 330 km Switzerland 164 km
Cambodia,"2,572.00 km",Laos 541 km Thailand 803 km Vietnam 1228 km
Senegal,"2,640.00 km",The Gambia 740 km Guinea 330 km Guinea-Bissau 338 km Mali 419 km Mauritania 813 km
Turkey,"2,648.00 km",Armenia 268 km Azerbaijan 9 km Bulgaria 240 km Georgia 252 km Greece 206 km Iran 499 km Iraq 352 km Syria 822 km
Finland,"2,654.00 km",Norway 727 km Sweden 614 km Russia 1313 km
Egypt,"2,665.00 km",Gaza Strip 11 km Israel 266 km Libya 1115 km Sudan 1273 km
Malaysia,"2,669.00 km",Brunei 381 km Indonesia 1782 km Thailand 506 km
Uganda,"2,698.00 km",Democratic Republic of the Congo 765 km Kenya 933 km Rwanda 169 km Sudan 435 km Tanzania 396 km
Indonesia,"2,830.00 km",Timor-Leste 228 km Malaysia 1782 km Papua New Guinea 820 km
Malawi,"2,881.00 km",Mozambique 1569 km Tanzania 475 km Zambia 837 km
France,"2,889.00 km",Andorra 56.6 km Belgium 620 km Germany 451 km Italy 488 km Luxembourg 73 km Monaco 4.4 km Spain 623 km Switzerland 573 km
Nepal,"2,926.00 km",China 1236 km India 1690 km
Guyana,"2,949.00 km",Brazil 1606 km Suriname 600 km Venezuela 743 km
Poland,"3,047.00 km",Belarus 605 km Czech Republic 615 km Germany 456 km Lithuania 91 km Russia (Kaliningrad Oblast) 432 km Slovakia 420 km Ukraine 428 km
